method,student_id,theta,group_theta,true_score,estimated_score,items,error
RB-Prior,858,0.7045065398247231,Tinggi,68.32116290937495,62.108433734939766,40,-6.212729174435182
RB-NoPrior,858,0.7045065398247231,Tinggi,68.32116290937495,71.66666666666666,20,3.3455037572917092
CAT-EAP,859,0.7890566873755189,Tinggi,69.90988719945099,65.69609130728601,20,-4.213795892164981
CAT-MLE,859,0.7890566873755189,Tinggi,69.90988719945099,71.60505914556316,23,1.6951719461121684
RB-Prior,859,0.7890566873755189,Tinggi,69.90988719945099,57.743097238895565,40,-12.166789960555427
RB-NoPrior,859,0.7890566873755189,Tinggi,69.90988719945099,55.85215605749488,40,-14.057731141956111
CAT-EAP,860,0.08382662792936094,Sedang,55.85020467686519,51.54724275869831,20,-4.302961918166879
CAT-MLE,860,0.08382662792936094,Sedang,55.85020467686519,47.63449305193315,20,-8.215711624932041
RB-Prior,860,0.08382662792936094,Sedang,55.85020467686519,52.82371294851793,40,-3.02649172834726
RB-NoPrior,860,0.08382662792936094,Sedang,55.85020467686519,66.73866090712744,20,10.88845623026225
CAT-EAP,861,1.4104591452035038,Sangat Tinggi,80.34282320913701,80.00156048155009,21,-0.34126272758692267
CAT-MLE,861,1.4104591452035038,Sangat Tinggi,80.34282320913701,79.8462359360598,20,-0.4965872730772105
RB-Prior,861,1.4104591452035038,Sangat Tinggi,80.34282320913701,63.11931984755206,40,-17.223503361584946
RB-NoPrior,861,1.4104591452035038,Sangat Tinggi,80.34282320913701,81.92934782608695,20,1.5865246169499443
CAT-EAP,862,0.4097627959594974,Tinggi,62.546494744112394,69.93893446739808,20,7.39243972328569
CAT-MLE,862,0.4097627959594974,Tinggi,62.546494744112394,61.22738451984052,21,-1.3191102242718742
RB-Prior,862,0.4097627959594974,Tinggi,62.546494744112394,55.678421996413626,40,-6.868072747698768
RB-NoPrior,862,0.4097627959594974,Tinggi,62.546494744112394,78.52011494252875,20,15.973620198416356
CAT-EAP,863,-0.8610879101735704,Sangat Rendah,36.1926027792563,45.22844719609013,20,9.035844416833832
CAT-MLE,863,-0.8610879101735704,Sangat Rendah,36.1926027792563,27.60200913959052,21,-8.590593639665776
RB-Prior,863,-0.8610879101735704,Sangat Rendah,36.1926027792563,46.5402177730945,40,10.3476149938382
RB-NoPrior,863,-0.8610879101735704,Sangat Rendah,36.1926027792563,47.184684684684676,29,10.992081905428378
CAT-EAP,864,1.4033699701251907,Sangat Tinggi,80.2379181293319,84.23497014293191,20,3.997052013600012
CAT-MLE,864,1.4033699701251907,Sangat Tinggi,80.2379181293319,86.75700007876512,23,6.519081949433215
RB-Prior,864,1.4033699701251907,Sangat Tinggi,80.2379181293319,66.0426267281106,40,-14.195291401221297
RB-NoPrior,864,1.4033699701251907,Sangat Tinggi,80.2379181293319,89.21302578018995,20,8.97510765085805
CAT-EAP,865,0.6979032725390276,Tinggi,68.1956754320042,63.76616107253821,20,-4.429514359465983
CAT-MLE,865,0.6979032725390276,Tinggi,68.1956754320042,56.326849091249024,20,-11.86882634075517
RB-Prior,865,0.6979032725390276,Tinggi,68.1956754320042,57.70178681454098,40,-10.493888617463213
RB-NoPrior,865,0.6979032725390276,Tinggi,68.1956754320042,83.6734693877551,20,15.477793955750911
CAT-EAP,866,-0.4430440211284823,Rendah,44.77300472187739,32.62233421539331,20,-12.150670506484083
CAT-MLE,866,-0.4430440211284823,Rendah,44.77300472187739,41.51524103592561,20,-3.2577636859517796
RB-Prior,866,-0.4430440211284823,Rendah,44.77300472187739,44.163104242025646,40,-0.6099004798517456
RB-NoPrior,866,-0.4430440211284823,Rendah,44.77300472187739,53.533504210911765,40,8.760499489034373
CAT-EAP,867,-0.47949296739924335,Rendah,44.01076873949256,47.55840471042138,20,3.547635970928816
CAT-MLE,867,-0.47949296739924335,Rendah,44.01076873949256,42.98961947734302,20,-1.0211492621495424
RB-Prior,867,-0.47949296739924335,Rendah,44.01076873949256,56.95137157107232,40,12.94060283157976
RB-NoPrior,867,-0.47949296739924335,Rendah,44.01076873949256,45.95682400292719,40,1.94605526343463
CAT-EAP,868,0.2965755451407618,Tinggi,60.24981207895267,54.44077532219803,20,-5.809036756754644
CAT-MLE,868,0.2965755451407618,Tinggi,60.24981207895267,54.61328333424335,20,-5.636528744709324
RB-Prior,868,0.2965755451407618,Tinggi,60.24981207895267,58.48455905762495,40,-1.765253021327723
RB-NoPrior,868,0.2965755451407618,Tinggi,60.24981207895267,54.41860465116279,20,-5.831207427789884
CAT-EAP,869,0.4631847952675847,Tinggi,63.617012639117654,66.96010329321189,20,3.343090654094233
CAT-MLE,869,0.4631847952675847,Tinggi,63.617012639117654,53.988480460660085,20,-9.628532178457569
RB-Prior,869,0.4631847952675847,Tinggi,63.617012639117654,57.792009759072904,40,-5.8250028800447495
RB-NoPrior,869,0.4631847952675847,Tinggi,63.617012639117654,76.99791521890204,20,13.380902579784383
CAT-EAP,870,0.19729226563120644,Sedang,58.20806104967542,63.19327909660639,20,4.985218046930967
CAT-MLE,870,0.19729226563120644,Sedang,58.20806104967542,64.14123580370256,20,5.933174754027135
RB-Prior,870,0.19729226563120644,Sedang,58.20806104967542,58.88956310679611,40,0.6815020571206887
RB-NoPrior,870,0.19729226563120644,Sedang,58.20806104967542,59.80844271018091,40,1.6003816605054908
CAT-EAP,871,0.3113086734428849,Tinggi,60.55077173555633,55.61493104361623,20,-4.9358406919401006
CAT-MLE,871,0.3113086734428849,Tinggi,60.55077173555633,57.91037634608822,20,-2.640395389468111
RB-Prior,871,0.3113086734428849,Tinggi,60.55077173555633,61.23165283982131,40,0.6808811042649765
RB-NoPrior,871,0.3113086734428849,Tinggi,60.55077173555633,54.94431319608504,40,-5.606458539471291
CAT-EAP,872,1.6999573745763805,Sangat Tinggi,84.31843773886591,80.51230799775357,20,-3.8061297411123434
CAT-MLE,872,1.6999573745763805,Sangat Tinggi,84.31843773886591,83.82676263912211,21,-0.4916750997438015
RB-Prior,872,1.6999573745763805,Sangat Tinggi,84.31843773886591,70.04697430229345,40,-14.27146343657246
RB-NoPrior,872,1.6999573745763805,Sangat Tinggi,84.31843773886591,76.88426363923053,40,-7.434174099635385
CAT-EAP,873,1.0715431522348857,Sangat Tinggi,74.94649602032702,79.79866119723455,20,4.852165176907533
CAT-MLE,873,1.0715431522348857,Sangat Tinggi,74.94649602032702,71.44314640280321,20,-3.50334961752381
RB-Prior,873,1.0715431522348857,Sangat Tinggi,74.94649602032702,58.98959881129272,40,-15.956897209034295
RB-NoPrior,873,1.0715431522348857,Sangat Tinggi,74.94649602032702,57.53916449086163,40,-17.407331529465388
CAT-EAP,874,0.19063559126502433,Sedang,58.0703889606442,63.402823933942464,20,5.3324349732982625
CAT-MLE,874,0.19063559126502433,Sedang,58.0703889606442,57.19566985825142,20,-0.8747191023927812
RB-Prior,874,0.19063559126502433,Sedang,58.0703889606442,54.00788436268067,39,-4.062504597963532
RB-NoPrior,874,0.19063559126502433,Sedang,58.0703889606442,58.36666666666666,40,0.2962777060224582
CAT-EAP,875,0.9413105807674833,Sangat Tinggi,72.67974058073376,71.61102657729015,20,-1.0687140034436169
CAT-MLE,875,0.9413105807674833,Sangat Tinggi,72.67974058073376,72.28759212633588,23,-0.3921484543978835
RB-Prior,875,0.9413105807674833,Sangat Tinggi,72.67974058073376,63.17586795674445,40,-9.503872623989317
RB-NoPrior,875,0.9413105807674833,Sangat Tinggi,72.67974058073376,78.46153846153847,20,5.781797880804703
CAT-EAP,876,-1.0325239035275395,Sangat Rendah,32.82474103058829,47.54402985909067,20,14.719288828502378
CAT-MLE,876,-1.0325239035275395,Sangat Rendah,32.82474103058829,30.905620849994243,21,-1.9191201805940494
RB-Prior,876,-1.0325239035275395,Sangat Rendah,32.82474103058829,41.05378704720088,39,8.229046016612585
RB-NoPrior,876,-1.0325239035275395,Sangat Rendah,32.82474103058829,42.68292682926829,34,9.858185798679997
CAT-EAP,877,0.39792704994680894,Tinggi,62.30808509693063,59.63833006202853,20,-2.669755034902103
CAT-MLE,877,0.39792704994680894,Tinggi,62.30808509693063,64.09333070452476,20,1.7852456075941276
RB-Prior,877,0.39792704994680894,Tinggi,62.30808509693063,61.6128057988523,40,-0.6952792980783329
RB-NoPrior,877,0.39792704994680894,Tinggi,62.30808509693063,71.61572052401749,20,9.307635427086858
CAT-EAP,878,1.80930634973311,Sangat Tinggi,85.66096249610369,85.4631209113393,22,-0.19784158476439018
CAT-MLE,878,1.80930634973311,Sangat Tinggi,85.66096249610369,85.82614259067016,24,0.1651800945664661
RB-Prior,878,1.80930634973311,Sangat Tinggi,85.66096249610369,58.26240093924274,40,-27.398561556860955
RB-NoPrior,878,1.80930634973311,Sangat Tinggi,85.66096249610369,88.84297520661157,20,3.182012710507877
CAT-EAP,879,-0.21804589539237385,Sedang,49.50523111048658,56.51072985869375,20,7.005498748207174
CAT-MLE,879,-0.21804589539237385,Sedang,49.50523111048658,39.59570343831185,21,-9.909527672174725
RB-Prior,879,-0.21804589539237385,Sedang,49.50523111048658,50.65852875040155,40,1.1532976399149746
RB-NoPrior,879,-0.21804589539237385,Sedang,49.50523111048658,52.54596888260254,40,3.0407377721159605
CAT-EAP,880,-0.8476339286190848,Sangat Rendah,36.46148605497171,36.83369039121987,20,0.37220433624815996
CAT-MLE,880,-0.8476339286190848,Sangat Rendah,36.46148605497171,32.032114126127134,20,-4.429371928844574
RB-Prior,880,-0.8476339286190848,Sangat Rendah,36.46148605497171,49.01892081289419,39,12.55743475792248
RB-NoPrior,880,-0.8476339286190848,Sangat Rendah,36.46148605497171,54.30067314884067,20,17.839187093868965
CAT-EAP,881,-0.6520888885930607,Rendah,40.431450061875005,44.133045692565375,20,3.7015956306903703
CAT-MLE,881,-0.6520888885930607,Rendah,40.431450061875005,37.42221888415007,20,-3.009231177724935
RB-Prior,881,-0.6520888885930607,Rendah,40.431450061875005,49.91680532445925,31,9.485355262584243
RB-NoPrior,881,-0.6520888885930607,Rendah,40.431450061875005,47.82608695652172,38,7.394636894646716
CAT-EAP,882,-1.0896330373423884,Sangat Rendah,31.7295194765774,36.20107770451873,20,4.47155822794133
CAT-MLE,882,-1.0896330373423884,Sangat Rendah,31.7295194765774,43.87393653725572,20,12.144417060678322
RB-Prior,882,-1.0896330373423884,Sangat Rendah,31.7295194765774,48.658069013593575,40,16.928549537016174
RB-NoPrior,882,-1.0896330373423884,Sangat Rendah,31.7295194765774,32.73395995096034,40,1.004440474382939
CAT-EAP,883,-0.7847619081277034,Rendah,37.72582860506982,26.50283327338628,20,-11.222995331683542
CAT-MLE,883,-0.7847619081277034,Rendah,37.72582860506982,35.05858995092016,21,-2.6672386541496635
RB-Prior,883,-0.7847619081277034,Rendah,37.72582860506982,44.27028909787533,40,6.544460492805506
RB-NoPrior,883,-0.7847619081277034,Rendah,37.72582860506982,43.96067415730337,40,6.234845552233551
CAT-EAP,884,-0.370508098590029,Rendah,46.294570983423796,48.43409960255642,20,2.1395286191326264
CAT-MLE,884,-0.370508098590029,Rendah,46.294570983423796,58.23427784634355,20,11.939706862919756
RB-Prior,884,-0.370508098590029,Rendah,46.294570983423796,52.5993883792049,40,6.304817395781107
RB-NoPrior,884,-0.370508098590029,Rendah,46.294570983423796,59.45537065052949,20,13.160799667105692
CAT-EAP,885,-1.405567019178642,Sangat Rendah,25.963157458738817,35.066277566843105,20,9.103120108104289
CAT-MLE,885,-1.405567019178642,Sangat Rendah,25.963157458738817,29.187373372843574,23,3.2242159141047573
RB-Prior,885,-1.405567019178642,Sangat Rendah,25.963157458738817,43.80578364869687,40,17.84262618995805
RB-NoPrior,885,-1.405567019178642,Sangat Rendah,25.963157458738817,39.15539155391553,40,13.192234095176712
CAT-EAP,886,0.015618333949603047,Sedang,54.423227591994284,49.195843038324085,20,-5.227384553670198
CAT-MLE,886,0.015618333949603047,Sedang,54.423227591994284,43.704451924819374,20,-10.71877566717491
RB-Prior,886,0.015618333949603047,Sedang,54.423227591994284,54.39968713335942,33,-0.023540458634862205
RB-NoPrior,886,0.015618333949603047,Sedang,54.423227591994284,48.95916733386711,36,-5.464060258127176
CAT-EAP,887,0.9022771737866472,Sangat Tinggi,71.98142981713956,72.29377920288535,20,0.3123493857457902
CAT-MLE,887,0.9022771737866472,Sangat Tinggi,71.98142981713956,78.0382439138237,22,6.05681409668415
RB-Prior,887,0.9022771737866472,Sangat Tinggi,71.98142981713956,57.6026977314531,40,-14.378732085686458
RB-NoPrior,887,0.9022771737866472,Sangat Tinggi,71.98142981713956,89.54203691045797,20,17.56060709331841
CAT-EAP,888,-0.9077561801469204,Sangat Rendah,35.264786680841446,47.01172987255302,20,11.746943191711573
